func_name,success_rate,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_best,best_fitness_worst,convergence_evals_mean,convergence_evals_std,convergence_evals_median,total_evals_mean
rastrigin,0.2,6.386398252954719,4.253404948000229,6.966128489537795,0.0,13.929785526663522,90571.96666666666,21505.185061191456,99900.0,99900.0
rosenbrock,0.0,23.648329749516538,0.739621001969102,23.785982182418564,21.451533779144476,24.744381246406316,99920.0,0.0,99920.0,99920.0
sphere,1.0,0.0,0.0,0.0,0.0,0.0,1735.2666666666667,88.70833002650852,1741.0,99980.0
