func_name,success_rate,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_best,best_fitness_worst,convergence_evals_mean,convergence_evals_std,convergence_evals_median,total_evals_mean
rastrigin,0.7333333333333333,0.8424683588247637,0.878667519360821,0.99495905709405,7.105427357601003e-14,2.984877171302145,65345.73333333333,26539.691330654863,59651.0,99900.0
rosenbrock,1.0,0.05017278648537474,0.07500058510559753,0.03074075907685035,0.0029982120262188,0.4059649373814009,49612.666666666664,11533.099416935567,48321.5,99920.0
sphere,1.0,0.0,0.0,0.0,0.0,0.0,1333.0,70.16876208409118,1337.0,99980.0
