experiment_id,run_id,param_tag,iter,evals_cost,normalized_evals,time_sec,temp,best_cost,current_cost
exp_gc_001,DFS_GC[base]_n30_inst0_run0,base,0,0,0.0,2.5830086087808013e-06,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst0_run0,base,1208,1,1.0,0.001033000007737428,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst0_run1,base,0,0,0.0,1.1250085663050413e-06,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst0_run1,base,1208,1,1.0,0.0007698749977862462,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst0_run2,base,0,0,0.0,7.500057108700275e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst0_run2,base,1208,1,1.0,0.0007276660035131499,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst1_run0,base,0,0,0.0,7.499911589547992e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst1_run0,base,89,1,1.0,0.00011337499017827213,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst1_run1,base,0,0,0.0,7.079943316057324e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst1_run1,base,89,1,1.0,0.00010312499944120646,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst1_run2,base,0,0,0.0,6.659975042566657e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst1_run2,base,89,1,1.0,0.00010274999658577144,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst2_run0,base,0,0,0.0,6.67001586407423e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst2_run0,base,71,1,1.0,9.445899922866374e-05,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst2_run1,base,0,0,0.0,6.249902071431279e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst2_run1,base,71,1,1.0,8.429099398199469e-05,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst2_run2,base,0,0,0.0,6.249902071431279e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst2_run2,base,71,1,1.0,8.870799501892179e-05,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst3_run0,base,0,0,0.0,5.829933797940612e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst3_run0,base,72,1,1.0,8.954199438448995e-05,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst3_run1,base,0,0,0.0,5.00003807246685e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst3_run1,base,72,1,1.0,8.541700663045049e-05,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst3_run2,base,0,0,0.0,5.419860826805234e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst3_run2,base,72,1,1.0,8.31669894978404e-05,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst4_run0,base,0,0,0.0,5.00003807246685e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst4_run0,base,68,1,1.0,8.691700350027531e-05,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst4_run1,base,0,0,0.0,5.419860826805234e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst4_run1,base,68,1,1.0,8.600000001024455e-05,,0,0.0
exp_gc_001,DFS_GC[base]_n30_inst4_run2,base,0,0,0.0,5.410111043602228e-07,,inf,inf
exp_gc_001,DFS_GC[base]_n30_inst4_run2,base,68,1,1.0,8.454101043753326e-05,,0,0.0
