experiment_id,run_id,param_tag,iter,evals_cost,normalized_evals,time_sec,temp,best_cost,current_cost
exp_001,GA_n30_inst0_run0,base,0,100,100.0,2.9160291887819767e-06,,1371.866970913774,1371.866970913774
exp_001,GA_n30_inst0_run0,base,10,1100,1100.0,0.1213749999878928,,856.0134762734485,856.0134762734485
exp_001,GA_n30_inst0_run0,base,20,2100,2100.0,0.1697732080356218,,731.0571511186115,731.0571511186115
exp_001,GA_n30_inst0_run0,base,30,3100,3100.0,0.21774925000499934,,729.804129214351,729.804129214351
exp_001,GA_n30_inst0_run0,base,40,4100,4100.0,0.2661317500169389,,729.804129214351,729.804129214351
exp_001,GA_n30_inst0_run0,base,50,5100,5100.0,0.3119497080333531,,729.804129214351,729.804129214351
exp_001,GA_n30_inst0_run0,base,60,6100,6100.0,0.3552302080206573,,729.804129214351,729.804129214351
exp_001,GA_n30_inst0_run0,base,70,7100,7100.0,0.3977864580228925,,719.7449698305329,719.7449698305329
exp_001,GA_n30_inst0_run0,base,80,8100,8100.0,0.4400639160303399,,719.7449698305329,719.7449698305329
exp_001,GA_n30_inst0_run0,base,90,9100,9100.0,0.48370804102160037,,719.7449698305329,719.7449698305329
exp_001,GA_n30_inst0_run0,base,100,10100,10100.0,0.5266827910090797,,717.0671265904946,717.0671265904946
exp_001,GA_n30_inst0_run0,base,110,11100,11100.0,0.5692154580028728,,717.0671265904946,717.0671265904946
exp_001,GA_n30_inst0_run0,base,120,12100,12100.0,0.6118922079913318,,717.0671265904946,717.0671265904946
exp_001,GA_n30_inst0_run0,base,130,13100,13100.0,0.6543578749988228,,717.0671265904946,717.0671265904946
exp_001,GA_n30_inst0_run0,base,140,14100,14100.0,0.6964147500111721,,717.0671265904946,717.0671265904946
exp_001,GA_n30_inst0_run0,base,150,15100,15100.0,0.7391091249883175,,717.0671265904946,717.0671265904946
exp_001,GA_n30_inst0_run0,base,160,16100,16100.0,0.7820362910279073,,708.6751348876703,708.6751348876703
exp_001,GA_n30_inst0_run0,base,170,17100,17100.0,0.8258325000060722,,708.6751348876703,708.6751348876703
exp_001,GA_n30_inst0_run0,base,180,18100,18100.0,0.8688792079919949,,708.6751348876703,708.6751348876703
exp_001,GA_n30_inst0_run0,base,190,19100,19100.0,0.9137741249869578,,708.6751348876703,708.6751348876703
exp_001,GA_n30_inst0_run0,base,200,20100,20100.0,0.9593734160298482,,708.6751348876703,708.6751348876703
exp_001,GA_n30_inst0_run0,base,210,21100,21100.0,1.0036698330077343,,704.4849458819541,704.4849458819541
exp_001,GA_n30_inst0_run0,base,220,22100,22100.0,1.047682791016996,,686.2306694217164,686.2306694217164
exp_001,GA_n30_inst0_run0,base,230,23100,23100.0,1.090922125033103,,686.2306694217164,686.2306694217164
exp_001,GA_n30_inst0_run0,base,240,24100,24100.0,1.133549457998015,,686.2306694217164,686.2306694217164
